club ,points,GPG,SPG,STPG,PST,PSG,PSTG,PR,CPG,YCPG,RCPG,TPG,PPG,PGCA,PCS,GCPG,SAPG,CRPG,PLP,PGOB,TBICPG,PTS,PSV,TF,FS
leicester,41,1.236842105,12,3.605263158,30.04385965,10.30701754,34.30656934,yes,5.552631579,1.289473684,0.105263158,567.0263158,351.1315789,6.382978723,26.31578947,1.447368421,3.263157895,24,20.28029678,17.0212766,75.76315789,4.049601417,1.583589549,0,0
liverpool,62,1.368421053,15.52631579,5.052631579,32.54237288,8.813559322,27.08333333,no,5.210526316,1.736842105,0.078947368,719.7105263,509.8421053,3.846153846,36.84210526,1.263157895,2.447368421,16.78947368,11.10250852,15.38461538,66.31578947,9.24003543,7.712579684,1,0
man city,79,2.184210526,17.63157895,6.026315789,34.17910448,12.3880597,36.24454148,no,5.973684211,2.026315789,0.052631579,780.3157895,581.7631579,10.84337349,36.84210526,1,2.447368421,20.92105263,8.76193061,18.07228916,60.26315789,12.84322409,10.64233906,1,0
man u ,70,1.631578947,13.47368421,4.736842105,35.15625,12.109375,34.44444444,no,5.631578947,1.684210526,0.131578947,764.3157895,560.8157895,3.225806452,28.94736842,0.973684211,2.631578947,23.89473684,13.93177232,11.29032258,69.26315789,26.33303809,11.99919277,0,0
newcastle,39,1.052631579,12.31578947,3.763157895,30.55555556,8.547008547,27.97202797,no,5.842105263,1.710526316,0.184210526,615.1315789,395.2368421,2.5,21.05263158,1.657894737,2.578947368,22.73684211,15.83327785,15,67.97368421,3.746678477,3.323876114,0,0
qpr,30,1.105263158,14.05263158,3.947368421,28.08988764,7.865168539,28,yes,4.710526316,1.973684211,0.078947368,576.4473684,359.4473684,2.380952381,15.78947368,1.921052632,3.736842105,19.89473684,21.99282524,19.04761905,77.52631579,3.100088574,2.665036385,0,0
southampton,60,1.421052632,13.39473684,4.447368421,33.20235756,10.60903733,31.95266272,no,5.473684211,1.5,0.078947368,679.3157895,478.5263158,0,39.47368421,0.868421053,2.105263158,25.05263158,15.00769908,7.407407407,63.18421053,-4.930026572,4.991749665,0,0
stoke,54,1.263157895,13.15789474,3.578947368,27.2,9.6,35.29411765,no,5.131578947,2.157894737,0.026315789,616.5,404.8947368,2.083333333,23.68421053,1.184210526,2.526315789,23.34210526,15.78707916,14.58333333,66.26315789,-0.354295837,2.623487933,0,0
sunderland,38,0.815789474,10.73684211,3.421052632,31.8627451,7.598039216,23.84615385,no,4.894736842,2.473684211,0.052631579,579.8947368,380.2894737,6.451612903,34.21052632,1.394736842,3.789473684,18.07894737,17.18912186,19.35483871,65.76315789,2.705048716,2.160519474,0,0
swansea,56,1.210526316,11.21052632,3.868421053,34.50704225,10.79812207,31.29251701,no,3.973684211,1.263157895,0.131578947,674.8684211,470.4473684,2.173913043,34.21052632,1.289473684,3.710526316,16.68421053,12.81534933,17.39130435,70.42105263,-3.6085031,3.104262871,0,0
tottenham,64,1.526315789,13.86842105,4.5,32.44781784,11.0056926,33.91812865,no,5.894736842,2.078947368,0.105263158,723.5526316,508.4736842,3.448275862,23.68421053,1.394736842,3.131578947,19.52631579,12.19853017,18.96551724,69.81578947,0.767050487,7.221120859,0,1
west brom,44,1,10.84210526,3.473684211,32.03883495,9.223300971,28.78787879,no,4.5,1.684210526,0.078947368,574.2105263,380.1315789,2.631578947,42.10526316,1.342105263,3.447368421,18.73684211,18.91311873,7.894736842,66.31578947,4,2.278042237,0,0
west ham,47,1.157894737,12.84210526,4,31.14754098,9.016393443,28.94736842,no,6.342105263,1.684210526,0.052631579,573.4736842,357.0526316,2.272727273,23.68421053,1.236842105,3.5,25.47368421,18.77948113,20.45454545,73.44736842,5.447298494,3.226534028,0,0
arsenal,79,1.789473684,13.76315789,5.605263158,40.72657744,13.00191205,31.92488263,no,5.526315789,1.394736842,0.105263158,784.8684211,567.5263158,5.882352941,44.73684211,1.078947368,3.052631579,19.81578947,8.365019011,7.352941176,67.44736842,7.160088777,9.550796869,1,0
aston villa,38,1.026315789,11.34210526,3.552631579,31.3225058,9.048723898,28.88888889,no,4.289473684,2.052631579,0,564.5526316,364.6315789,10.25641026,23.68421053,1.605263158,2.894736842,19.71052632,16.58487298,15.38461538,63.18421053,2.26575316,2.711114082,0,0
cardiff,30,0.842105263,11,3.263157895,29.66507177,7.655502392,25.80645161,yes,5.157894737,1.289473684,0.026315789,579.4210526,368.6052632,0,18.42105263,1.947368421,4.131578947,20.84210526,14.61412151,12.5,67.26315789,8.121200425,2.176318976,0,0
chelsea,82,1.868421053,18.21052632,6.026315789,33.09248555,10.26011561,31.00436681,no,6.526315789,1.5,0.078947368,698.4473684,480.6842105,7.042253521,47.36842105,0.710526316,2.526315789,21.28947368,11.23398664,23.94366197,61.81578947,10.11676156,14.46422691,1,0
crystal palace,45,0.868421053,10.89473684,3.763157895,34.5410628,7.971014493,23.07692308,yes,4.526315789,1.526315789,0.052631579,534.4473684,310.7368421,6.060606061,31.57894737,1.263157895,3.131578947,18.57894737,16.25169377,15.15151515,81.26315789,6.36881212,1.700945547,0,0
everton,72,1.605263158,14.76315789,5.157894737,34.93761141,10.87344029,31.12244898,no,6.605263158,1.447368421,0.026315789,706.7631579,481.6052632,4.918032787,39.47368421,1.026315789,3.078947368,22.31578947,12.23430414,19.67213115,64.21052632,-2.759818585,5.19939687,0,1
fulham,32,1.052631579,11.34210526,3.921052632,34.57076566,9.280742459,26.84563758,no,5.105263158,1.526315789,0.026315789,599.2368421,386.1578947,2.5,13.15789474,2.236842105,4.052631579,18.63157895,14.85620826,22.5,71.94736842,4.853806813,2.789105035,0,0
hull,37,1,11.23684211,3.473684211,30.91334895,8.899297424,28.78787879,yes,4.210526316,1.394736842,0.105263158,604.8421053,403.0789474,5.263157895,26.31578947,1.394736842,2.789473684,22.44736842,14.53940067,21.05263158,66.65789474,5.832287948,1.687328079,0,0
liverpool,84,2.657894737,17.13157895,6.789473684,39.63133641,15.51459293,39.14728682,no,5.894736842,1.421052632,0.026315789,741.3157895,515.9210526,8.910891089,26.31578947,1.315789474,2.815789474,16.92105263,9.676103035,18.81188119,73.13157895,4.940654251,7.817664579,0,0
man city,86,2.684210526,17.71052632,6.263157895,35.3640416,15.15601783,42.85714286,no,7.447368421,1.894736842,0.026315789,745.8157895,546.3421053,4.901960784,42.10526316,0.973684211,2.315789474,23.47368421,8.626752083,15.68627451,59.23684211,20.11000675,11.28516711,1,0
man u,64,1.684210526,13.84210526,4.815789474,34.79087452,12.16730038,34.9726776,no,5.684210526,1.736842105,0.078947368,720.1842105,497.2105263,1.5625,34.21052632,1.131578947,2.710526316,26.31578947,10.9929078,17.1875,72.65789474,14.53826112,9.966748619,1,0
newcastle ,49,1.131578947,15.23684211,4.789473684,31.43350604,7.426597582,23.62637363,no,5,1.394736842,0.157894737,644.3157895,423.3421053,6.976744186,26.31578947,1.552631579,2.842105263,20.71052632,11.25132094,18.60465116,67.05263158,-4.259384348,4.265981337,0,0
norwich,33,0.736842105,12.28947368,3.894736842,31.69164882,5.995717345,18.91891892,no,5.184210526,1.631578947,0.052631579,593.9473684,388.4736842,3.571428571,31.57894737,1.631578947,3.289473684,21.52631579,14.36119767,32.14285714,63.92105263,4.867316414,2.210981621,0,0
southampton,56,1.421052632,14.05263158,4.710526316,33.52059925,10.11235955,30.16759777,no,5.526315789,1.578947368,0,737.6315789,515.3421053,3.703703704,39.47368421,1.210526316,2.236842105,23.07894737,12.28616657,14.81481481,68.42105263,6.831998456,3.255812802,0,0
stoke ,50,1.184210526,11.26315789,3.605263158,32.00934579,10.51401869,32.84671533,no,4.315789474,1.894736842,0.131578947,613.7894737,403.2631579,6.666666667,23.68421053,1.368421053,3.342105263,19.23684211,12.85565127,31.11111111,66,1.350960147,2.592270725,0,0
sunderland,38,1.078947368,12.92105263,3.631578947,28.10590631,8.350305499,29.71014493,no,4.947368421,1.815789474,0.184210526,576.8947368,380.9210526,9.756097561,28.94736842,1.578947368,4.210526316,19.71052632,14.56994819,9.756097561,56.92105263,2.225224356,3.020601991,0,0
swansea,42,1.421052632,13.05263158,4.236842105,32.45967742,10.88709677,33.54037267,no,5.947368421,1.447368421,0.078947368,767.3157895,555.6052632,0,21.05263158,1.421052632,2.526315789,23.73684211,10.06962535,16.66666667,66.26315789,5.1355785,3.192182088,0,0
tottenham,69,1.447368421,15.47368421,5.052631579,32.65306122,9.353741497,28.64583333,no,6.052631579,1.736842105,0.105263158,690.4736842,472.1578947,7.272727273,36.84210526,1.342105263,2.789473684,22.34210526,11.85486568,18.18181818,62.23684211,-3.058959761,7.154122503,0,1
west brom,36,1.131578947,12.81578947,3.842105263,29.97946612,8.829568789,29.45205479,no,4.921052632,1.763157895,0,601.7368421,386.9473684,2.325581395,18.42105263,1.552631579,3,21.94736842,13.20729053,18.60465116,68.34210526,0.829875519,2.24812017,0,0
west ham,40,1.052631579,11.10526316,3.210526316,28.90995261,9.478672986,32.78688525,no,4.868421053,1.631578947,0.131578947,539.7631579,325.3684211,5,36.84210526,1.342105263,3.973684211,25.02631579,16.66936267,10,69.86842105,4.529576377,2.711114082,0,0
