club ,points,GPG,SPG,STPG,PST,PSG,PSTG,PR,CPG,YCPG,RCPG,TPG,PPG,PGCA,PCS,GCPG,SAPG,CRPG,PLP,PGOB,TBICPG,PTS,PSV,TF,FS
everton,49,1.157894737,9.447368421,3.184210526,33.70473538,12.25626741,36.36363636,no,3.947368421,1.342105263,0.078947368,586.7894737,388.1315789,4.545454545,26.31578947,1.526315789,3.184210526,16.55263158,18.48260899,18.18181818,67.02631579,9.232951131,4.715580898,0,0
huddersfield,37,0.736842105,9.526315789,2.868421053,30.11049724,7.73480663,25.68807339,yes,4.342105263,1.631578947,0.078947368,595.2368421,393.6842105,7.142857143,26.31578947,1.526315789,2.710526316,20.13157895,17.13235294,3.571428571,64.5,6.045527752,1.311704536,0,0
leicester,47,1.473684211,11.13157895,3.921052632,35.22458629,13.23877069,37.58389262,no,5.342105263,1.368421053,0.131578947,599.2105263,400,12.5,23.68421053,1.578947368,2.815789474,19.57894737,17.54605263,12.5,55.07894737,4.056392875,3.763188166,0,0
liverpool,75,2.210526316,16.78947368,6.131578947,36.52037618,13.1661442,36.05150215,no,6.052631579,1.157894737,0.026315789,798,604.2631579,10.71428571,44.73684211,1,1.763157895,20.10526316,10.32140057,10.71428571,47.97368421,-1.304055191,10.60619179,1,0
man city,100,2.789473684,17.5,6.973684211,39.84962406,15.93984962,40,no,7.473684211,1.552631579,0.052631579,924.4736842,743.1842105,3.773584906,47.36842105,0.710526316,1.631578947,18.18421053,6.285188202,12.26415094,40.78947368,27.180837,12.49242415,1,0
man u,81,1.789473684,13.47368421,4.684210526,34.765625,13.28125,38.20224719,no,5.789473684,1.684210526,0.026315789,724.3421053,528,5.882352941,50,0.736842105,3.105263158,19.81578947,11.50318979,19.11764706,52.89473684,18.37696209,10.5072419,0,1
newcastle ,44,1.026315789,11.86842105,3.921052632,33.03769401,8.647450111,26.17449664,yes,4.394736842,1.368421053,0.052631579,565.9473684,369.1578947,12.82051282,23.68421053,1.236842105,2.763157895,16.21052632,18.60564585,12.82051282,61.23684211,3.0383885,2.576160497,0,0
southampton,36,0.973684211,11.84210526,3.815789474,32.22222222,8.222222222,25.51724138,no,5.973684211,1.657894737,0.052631579,648.3947368,451.9473684,5.405405405,21.05263158,1.473684211,2.894736842,21.05263158,14.79562129,8.108108108,57.92105263,-4.459027427,3.673514824,0,0
stoke,33,0.921052632,10.10526316,3.473684211,34.375,9.114583333,26.51515152,no,3.578947368,1.631578947,0.026315789,536,339.2631579,5.714285714,15.78947368,1.789473684,4,15.73684211,19.60905988,22.85714286,64.34210526,2.711473282,2.380363393,0,0
swansea,33,0.736842105,8.894736842,2.710526316,30.47337278,8.284023669,27.18446602,no,3.947368421,1.342105263,0.026315789,599.3421053,413.7105263,0,23.68421053,1.473684211,3.605263158,18.26315789,16.40480885,14.28571429,54.39473684,-0.927862311,2.04690225,0,0
tottenham,77,1.947368421,16.39473684,5.684210526,34.67094703,11.87800963,34.25925926,no,6.473684211,1.315789474,0.052631579,774,570,10.81081081,42.10526316,0.947368421,2.447368421,21.71052632,11.29732225,14.86486486,49.92105263,2.067257999,10.26110403,1,0
watford,41,1.157894737,11.57894737,3.473684211,30,10,33.33333333,no,4.815789474,1.657894737,0.105263158,608.6052632,411.9473684,2.272727273,23.68421053,1.684210526,2.5,18.76315789,15.39542609,13.63636364,57.52631579,6.569553616,2.424272409,0,0
west brom,31,0.815789474,9.947368421,3,30.15873016,8.201058201,27.19298246,no,4.631578947,1.921052632,0.026315789,540.8421053,347.8421053,6.451612903,26.31578947,1.473684211,2.684210526,20.63157895,20.41912544,6.451612903,58.26315789,6.183745583,2.052591869,0,0
west ham,42,1.263157895,9.789473684,3.5,35.75268817,12.90322581,36.09022556,no,4.236842105,1.921052632,0.052631579,577.0526316,378.1315789,8.333333333,26.31578947,1.789473684,3.210526316,19.26315789,17.86484794,20.83333333,59.57894737,-1.468714694,3.223292805,0,0
arsenal,75,2.026315789,14.89473684,5.289473684,35.51236749,13.60424028,38.30845771,no,5.973684211,1.789473684,0.078947368,761.3421053,563,2.597402597,34.21052632,1.157894737,3.263157895,18.34210526,9.250257081,9.090909091,56.36842105,12.91113766,9.220101863,1,0
bournemouth,46,1.447368421,11.89473684,4.210526316,35.39823009,12.16814159,34.375,no,5.078947368,1.368421053,0.078947368,652.6578947,451.3684211,3.636363636,26.31578947,1.763157895,3.236842105,16.52631579,14.34818097,9.090909091,60.68421053,2.1382303,2.238681559,0,0
burnley,40,1.026315789,10.31578947,3.157894737,30.6122449,9.948979592,32.5,yes,3.921052632,1.710526316,0.052631579,520.7368421,330.5,5.128205128,26.31578947,1.447368421,3.973684211,17.10526316,25.31252488,20.51282051,69.23684211,5.584554431,1.823266638,0,0
chelsea,93,2.236842105,15.26315789,5.368421053,35.17241379,14.65517241,41.66666667,no,5.736842105,1.894736842,0,727.8421053,529.6052632,8.235294118,42.10526316,0.868421053,1.815789474,18.10526316,11.92049689,14.11764706,54.71052632,3.006100245,11.6816309,0,0
crystal  palace,41,1.315789474,11.55263158,3.631578947,31.43507973,11.38952164,36.23188406,no,5.342105263,2.026315789,0,566.6578947,356.3684211,0,18.42105263,1.657894737,2.842105263,22.94736842,20.15211933,4,63.13157895,6.4146909,3.885881676,0,0
everton,61,1.631578947,13.21052632,5.026315789,38.04780876,12.35059761,32.46073298,no,5.157894737,1.894736842,0.052631579,666.0263158,462.7894737,3.225806452,34.21052632,1.157894737,2.526315789,20.18421053,16.8770613,4.838709677,64.21052632,3.169611974,5.294754068,0,0
hull,34,0.973684211,10.44736842,3.315789474,31.73803526,9.319899244,29.36507937,yes,4.710526316,1.763157895,0.131578947,599.7368421,410.6842105,8.108108108,13.15789474,2.105263158,3.605263158,19.36842105,16.96142509,10.81081081,65.44736842,1.396138608,2.310979406,0,0
leicester,44,1.263157895,11.39473684,3.815789474,33.48729792,11.08545035,33.10344828,no,5.184210526,1.894736842,0.026315789,553.9736842,359.7631579,8.333333333,23.68421053,1.657894737,3.447368421,19.23684211,20.42279277,18.75,62.65789474,3.276523489,3.719511573,1,0
liverpool,76,2.052631579,16.84210526,6.210526316,36.875,12.1875,33.05084746,no,6.552631579,1.421052632,0,791.3421053,586.5789474,3.846153846,31.57894737,1.105263158,1.921052632,21.36842105,11.50740242,16.66666667,54.5,-0.689264826,7.240841989,0,0
man city,78,2.105263158,16.65789474,5.684210526,34.12322275,12.63823065,37.03703704,no,7.368421053,1.868421053,0.105263158,799.0263158,597.5263158,7.5,31.57894737,1.026315789,1.684210526,21.07894737,8.79503215,8.75,55.73684211,22.75328596,9.806990266,1,0
man u,69,1.421052632,15.55263158,5.526315789,35.53299492,9.137055838,25.71428571,no,5.710526316,2.052631579,0.052631579,739.9736842,532.7631579,9.259259259,44.73684211,0.763157895,2.236842105,22.31578947,11.97332675,12.96296296,65.39473684,17.32595434,9.040633091,0,1
middlesborough,28,0.710526316,9.236842105,2.631578947,28.49002849,7.692307692,27,yes,3.710526316,2.026315789,0.026315789,607.0263158,414.1052632,11.11111111,28.94736842,1.394736842,3.078947368,19,18.14946619,3.703703704,66.18421053,4.333060814,2.191050037,0,0
southampton,46,1.078947368,14.47368421,4.710526316,32.54545455,7.454545455,22.90502793,no,5.210526316,1.552631579,0.052631579,681.0789474,480.1315789,0,36.84210526,1.263157895,2,24.92105263,12.80350781,9.756097561,58.71052632,-2.031318785,4.486719311,0,1
stoke,44,1.078947368,11.18421053,3.605263158,32.23529412,9.647058824,29.9270073,no,4.947368421,1.842105263,0.052631579,581.2368421,383.1052632,0,28.94736842,1.473684211,3.342105263,18.89473684,17.22077208,12.19512195,61.34210526,4.826111565,3.164093997,0,0
sunderland,24,0.763157895,10.18421053,3.131578947,30.74935401,7.493540052,24.3697479,no,4.184210526,2.052631579,0.105263158,516.8157895,325.2368421,0,15.78947368,1.815789474,4.631578947,16.21052632,20.9725706,10.34482759,66.15789474,2.280359726,2.245486063,0,0
swansea,41,1.184210526,10.65789474,3.815789474,35.80246914,11.11111111,31.03448276,no,5.157894737,1.473684211,0,624.4210526,424.5,2.222222222,21.05263158,1.842105263,3.184210526,22.73684211,15.98784948,11.11111111,59.65789474,1.106848626,2.67246864,0,0
tottenham,86,2.263157895,17.60526316,6.763157895,38.41554559,12.85500747,33.46303502,no,7.184210526,1.631578947,0,740.7894737,530.2631579,3.488372093,44.73684211,0.684210526,2.236842105,20.02631579,13.21091811,13.95348837,54.65789474,3.924281492,9.248170439,1,0
